,attention -> next-week abnormal volume,attention -> next-week return,attention (reversal-controlled) -> return,momentum (last-week return) -> return,GNN forecast -> same-week abnormal volume,GNN forecast -> same-week return
2021-06-25,0.0989010989010989,-0.15604395604395604,0.03736263736263736,0.015431627196333078,,
2021-07-02,0.15164835164835166,-0.02857142857142857,-0.1384615384615385,0.10527119938884644,,
2021-07-09,-0.2923076923076923,0.006593406593406593,-0.12967032967032965,0.4169595110771582,,
2021-07-16,-0.14725274725274726,0.04175824175824176,-0.06813186813186813,-0.030099312452253627,,
2021-07-23,-0.6439560439560439,-0.5956043956043956,-0.6043956043956044,0.2293353705118411,,
2021-07-30,-0.39780219780219783,-0.3318681318681319,0.1032967032967033,0.4820473644003056,,
2021-08-06,0.3230769230769231,0.1912087912087912,0.4769230769230769,-0.09793735676088618,,
2021-08-13,0.0857142857142857,0.15164835164835166,0.24395604395604395,0.30359052711993884,,
2021-08-20,-0.3142857142857143,0.46373626373626364,0.5164835164835165,-0.44965622612681433,,
2021-08-27,-0.432967032967033,-0.05054945054945055,0.0989010989010989,0.24705882352941175,,
2021-09-03,0.3362637362637363,0.006593406593406593,0.059340659340659345,0.21802902979373567,,
2021-09-10,0.05054945054945055,-0.1956043956043956,-0.23956043956043957,0.08815889992360579,,
2021-09-17,0.1824175824175824,0.2175824175824176,0.178021978021978,0.21527883880825052,,
2021-09-24,0.2923076923076923,0.3010989010989011,-0.08131868131868132,0.3738731856378915,,
2021-10-01,-0.02417582417582418,-0.1252747252747253,-0.47252747252747257,0.04232238349885409,,
2021-10-08,-0.0945054945054945,0.432967032967033,0.4945054945054946,0.14835752482811307,,
2021-10-15,0.26153846153846155,-0.1032967032967033,-0.2527472527472528,-0.027654698242933536,,
2021-10-22,0.23076923076923075,-0.1164835164835165,-0.1164835164835165,-0.05821237585943467,,
2021-10-29,0.16483516483516483,0.5428571428571429,0.12087912087912088,0.2397249809014515,,
2021-11-05,0.3626373626373627,0.02417582417582418,0.006593406593406593,0.11841100076394193,,
2021-11-12,0.23956043956043957,0.37857142857142856,0.6,0.5101604278074866,,
2021-11-19,0.2835164835164835,-0.4107142857142856,-0.43214285714285705,0.26022408963585436,,
2021-11-26,0.12087912087912088,0.017857142857142853,0.05714285714285713,0.24061624649859947,,
2021-12-03,0.36428571428571427,-0.37857142857142856,-0.4035714285714285,0.21960784313725493,,
2021-12-10,-0.014285714285714282,0.27499999999999997,0.11071428571428568,-0.5235294117647059,,
2021-12-17,0.2571428571428571,0.075,0.16785714285714282,-0.45322128851540616,,
2021-12-24,0.07142857142857141,-0.04285714285714285,0.18214285714285713,-0.21260504201680674,,
2021-12-31,-0.021428571428571425,0.5285714285714286,0.4642857142857142,-0.14873949579831933,,
2022-01-07,-0.21071428571428572,-0.17857142857142855,-0.35,0.511204481792717,,
2022-01-14,0.11071428571428568,0.3142857142857143,0.4071428571428571,0.08935574229691878,,
2022-01-21,0.2545454545454545,0.2506493506493506,0.15454545454545454,0.2593837535014006,,
2022-01-28,0.17012987012987013,-0.33506493506493507,-0.37922077922077924,-0.26975546975546977,,
2022-02-04,0.01038961038961039,-0.006493506493506493,0.0025974025974025974,-0.32689832689832693,,
2022-02-11,0.15974025974025974,0.00909090909090909,0.13246753246753248,-0.08957528957528958,,
2022-02-18,0.04155844155844156,-0.22857142857142856,-0.24155844155844156,0.08133848133848134,,
2022-02-25,0.16623376623376623,-0.07402597402597402,-0.029870129870129873,0.29961389961389956,,
2022-03-04,0.22077922077922077,-0.031168831168831172,0.05844155844155843,0.1758043758043758,,
2022-03-11,-0.20519480519480518,-0.38051948051948054,-0.41558441558441556,-0.23088803088803087,,
