a,b,distance,peak_corr,theme
AMD,Eaton,4,0.04068706818661359,ai-buildout
AMD,Copper,4,0.09474325337581027,ai-buildout
AMD,Uranium,4,0.1376280979295838,ai-buildout
AMD,Tesla,4,0.10363734833981013,ai-buildout
TSMC,ASML,1,0.28727082715620844,ai-buildout
TSMC,SK Hynix,3,0.07189673230192711,ai-buildout
TSMC,Micron,3,0.07306537925756765,ai-buildout
TSMC,Samsung,2,0.07360376852270036,ai-buildout
TSMC,HBM,2,0.12187819993111301,ai-buildout
TSMC,Data center,2,0.09192007601539262,ai-buildout
TSMC,Azure,3,0.046917952949480854,ai-buildout
TSMC,AWS,3,0.07397164788800997,ai-buildout
TSMC,Google Cloud,3,0.11773984203229604,ai-buildout
TSMC,CoreWeave,3,0.19000818081188456,ai-buildout
TSMC,Oracle,3,0.08047129733564759,ai-buildout
TSMC,Vertiv,3,0.052499581870076785,ai-buildout
TSMC,Nuclear power,3,0.12602143234264648,ai-buildout
TSMC,SMR,4,0.11166082933760998,ai-buildout
TSMC,Natural gas,3,0.07925190280355354,ai-buildout
TSMC,Constellation,3,0.05633549891060955,ai-buildout
TSMC,NextEra,3,0.1259899607067851,ai-buildout
TSMC,Vistra,3,0.04781992386339585,ai-buildout
TSMC,GE Vernova,3,0.01345267896955057,ai-buildout
TSMC,Electrical grid,3,0.17030431951950634,ai-buildout
TSMC,Transformer (device),4,0.09812818984185871,ai-buildout
TSMC,Quanta Services,4,0.12535786760534892,ai-buildout
TSMC,Eaton,4,0.17679702532346867,ai-buildout
TSMC,Copper,4,0.12284949185728944,ai-buildout
TSMC,Uranium,4,0.10515987811407906,ai-buildout
TSMC,Tesla,3,0.16138516115709473,ai-buildout
ASML,SK Hynix,3,0.05131652016702584,ai-buildout
ASML,Micron,3,0.07837544692121758,ai-buildout
ASML,Samsung,1,0.07196225156731349,ai-buildout
ASML,HBM,2,0.14136870173742633,ai-buildout
ASML,Data center,3,0.024833115181671396,ai-buildout
ASML,Azure,4,0.09377622527399417,ai-buildout
ASML,AWS,4,0.08990139464401567,ai-buildout
ASML,Google Cloud,4,0.19233816068654017,ai-buildout
ASML,CoreWeave,4,0.11550092837772687,ai-buildout
ASML,Oracle,4,0.08137936926338712,ai-buildout
ASML,Vertiv,4,0.050419812020633184,ai-buildout
ASML,Nuclear power,4,0.049090814376279185,ai-buildout
ASML,SMR,5,0.05432359662286396,ai-buildout
ASML,Natural gas,4,0.09370140367259344,ai-buildout
ASML,Constellation,4,0.08013191497302936,ai-buildout
ASML,NextEra,4,0.012891640510669121,ai-buildout
ASML,Vistra,4,0.08872446104019967,ai-buildout
ASML,GE Vernova,4,0.021210572064522166,ai-buildout
ASML,Electrical grid,4,0.07462556122698095,ai-buildout
ASML,Transformer (device),5,0.06697208619424969,ai-buildout
ASML,Quanta Services,5,0.08477664505440415,ai-buildout
ASML,Eaton,5,0.029704034723634747,ai-buildout
ASML,Copper,5,0.08899511866307283,ai-buildout
ASML,Uranium,5,0.10529703408680569,ai-buildout
ASML,Tesla,4,0.14589987129138374,ai-buildout
SK Hynix,Micron,2,0.06872877358981401,ai-buildout
SK Hynix,Samsung,2,0.07045805682097388,ai-buildout
SK Hynix,HBM,1,0.1141169595742533,ai-buildout
SK Hynix,Data center,3,0.0882015116475264,ai-buildout
SK Hynix,Azure,4,0.03395983590822657,ai-buildout
SK Hynix,AWS,4,0.05525290073567104,ai-buildout
SK Hynix,Google Cloud,4,0.04242762055750904,ai-buildout
SK Hynix,CoreWeave,4,0.09294390875208304,ai-buildout
SK Hynix,Oracle,4,0.09077588485355124,ai-buildout
SK Hynix,Vertiv,4,0.06545303737763168,ai-buildout
SK Hynix,Nuclear power,4,0.07005255252855391,ai-buildout
SK Hynix,SMR,5,0.07941568472028185,ai-buildout
SK Hynix,Natural gas,4,0.09390289201284797,ai-buildout
SK Hynix,Constellation,4,0.07736968850305473,ai-buildout
SK Hynix,NextEra,4,0.05830729010413646,ai-buildout
SK Hynix,Vistra,4,0.09559845655294807,ai-buildout
SK Hynix,GE Vernova,4,0.02894561427956382,ai-buildout
SK Hynix,Electrical grid,4,0.06764659461080041,ai-buildout
SK Hynix,Transformer (device),5,0.061891566647897966,ai-buildout
SK Hynix,Quanta Services,5,0.0408807357244308,ai-buildout
SK Hynix,Eaton,5,0.07517289762854767,ai-buildout
SK Hynix,Copper,5,0.029078500441712146,ai-buildout
SK Hynix,Uranium,5,0.04894092884775764,ai-buildout
SK Hynix,Tesla,4,0.07368278667071165,ai-buildout
Micron,Samsung,2,0.16486196528056643,ai-buildout
Micron,HBM,1,0.24834713575896172,ai-buildout
Micron,Data center,3,0.10775509131604173,ai-buildout
Micron,Azure,4,0.04958086773908464,ai-buildout
Micron,AWS,4,0.06870351689079127,ai-buildout
Micron,Google Cloud,4,0.09420361377849948,ai-buildout
Micron,CoreWeave,4,0.08172085887874696,ai-buildout
Micron,Oracle,4,0.066490520979783,ai-buildout
Micron,Vertiv,4,0.08941104649022209,ai-buildout
Micron,Nuclear power,4,0.08876754186309105,ai-buildout
Micron,SMR,5,0.05865117000381097,ai-buildout
Micron,Natural gas,4,0.04699702625694491,ai-buildout
Micron,Constellation,4,0.07008360718470924,ai-buildout
Micron,NextEra,4,0.12758614381161731,ai-buildout
