a,b,distance,peak_corr
TSMC,CoreWeave,3,0.19000818081188456
TSMC,Oracle,3,0.08047129733564759
TSMC,Vertiv,3,0.052499581870076785
TSMC,Nuclear power,3,0.12602143234264648
TSMC,SMR,4,0.11166082933760998
TSMC,Natural gas,3,0.07925190280355354
TSMC,Constellation,3,0.05633549891060955
TSMC,NextEra,3,0.1259899607067851
TSMC,Vistra,3,0.04781992386339585
TSMC,GE Vernova,3,0.01345267896955057
TSMC,Electrical grid,3,0.17030431951950634
TSMC,Transformer (device),4,0.09812818984185871
TSMC,Quanta Services,4,0.12535786760534892
TSMC,Eaton,4,0.17679702532346867
TSMC,Copper,4,0.12284949185728944
TSMC,Uranium,4,0.10515987811407906
TSMC,Tesla,3,0.16138516115709473
ASML,SK Hynix,3,0.05131652016702584
ASML,Micron,3,0.07837544692121758
ASML,Samsung,1,0.07196225156731349
ASML,HBM,2,0.14136870173742633
ASML,Data center,3,0.024833115181671396
ASML,Azure,4,0.09377622527399417
ASML,AWS,4,0.08990139464401567
ASML,Google Cloud,4,0.19233816068654017
ASML,CoreWeave,4,0.11550092837772687
ASML,Oracle,4,0.08137936926338712
ASML,Vertiv,4,0.050419812020633184
ASML,Nuclear power,4,0.049090814376279185
ASML,SMR,5,0.05432359662286396
ASML,Natural gas,4,0.09370140367259344
ASML,Constellation,4,0.08013191497302936
ASML,NextEra,4,0.012891640510669121
ASML,Vistra,4,0.08872446104019967
ASML,GE Vernova,4,0.021210572064522166
ASML,Electrical grid,4,0.07462556122698095
ASML,Transformer (device),5,0.06697208619424969
ASML,Quanta Services,5,0.08477664505440415
ASML,Eaton,5,0.029704034723634747
ASML,Copper,5,0.08899511866307283
ASML,Uranium,5,0.10529703408680569
ASML,Tesla,4,0.14589987129138374
SK Hynix,Micron,2,0.06872877358981401
SK Hynix,Samsung,2,0.07045805682097388
SK Hynix,HBM,1,0.1141169595742533
SK Hynix,Data center,3,0.0882015116475264
SK Hynix,Azure,4,0.03395983590822657
SK Hynix,AWS,4,0.05525290073567104
SK Hynix,Google Cloud,4,0.04242762055750904
SK Hynix,CoreWeave,4,0.09294390875208304
SK Hynix,Oracle,4,0.09077588485355124
SK Hynix,Vertiv,4,0.06545303737763168
SK Hynix,Nuclear power,4,0.07005255252855391
SK Hynix,SMR,5,0.07941568472028185
SK Hynix,Natural gas,4,0.09390289201284797
SK Hynix,Constellation,4,0.07736968850305473
SK Hynix,NextEra,4,0.05830729010413646
SK Hynix,Vistra,4,0.09559845655294807
SK Hynix,GE Vernova,4,0.02894561427956382
SK Hynix,Electrical grid,4,0.06764659461080041
SK Hynix,Transformer (device),5,0.061891566647897966
SK Hynix,Quanta Services,5,0.0408807357244308
SK Hynix,Eaton,5,0.07517289762854767
SK Hynix,Copper,5,0.029078500441712146
SK Hynix,Uranium,5,0.04894092884775764
SK Hynix,Tesla,4,0.07368278667071165
Micron,Samsung,2,0.16486196528056643
Micron,HBM,1,0.24834713575896172
Micron,Data center,3,0.10775509131604173
Micron,Azure,4,0.04958086773908464
Micron,AWS,4,0.06870351689079127
Micron,Google Cloud,4,0.09420361377849948
Micron,CoreWeave,4,0.08172085887874696
Micron,Oracle,4,0.066490520979783
Micron,Vertiv,4,0.08941104649022209
Micron,Nuclear power,4,0.08876754186309105
Micron,SMR,5,0.05865117000381097
Micron,Natural gas,4,0.04699702625694491
Micron,Constellation,4,0.07008360718470924
Micron,NextEra,4,0.12758614381161731
Micron,Vistra,4,0.07227743335027202
Micron,GE Vernova,4,0.0760175439196735
Micron,Electrical grid,4,0.06327509435761987
Micron,Transformer (device),5,0.11910777813208252
Micron,Quanta Services,5,0.08723175398313224
Micron,Eaton,5,0.0936804199504304
Micron,Copper,5,0.042153620699092655
Micron,Uranium,5,0.021202968818320397
Micron,Tesla,4,0.20109562444771403
Samsung,HBM,1,0.043708270717679805
Samsung,Data center,3,0.08847111226102176
Samsung,Azure,4,0.06040485624363731
Samsung,AWS,4,0.09428433448341714
Samsung,Google Cloud,4,0.05381479783946476
Samsung,CoreWeave,4,0.1298948604274203
Samsung,Oracle,4,0.11026684252939419
Samsung,Vertiv,4,0.06137664569661312
Samsung,Nuclear power,4,0.10772280815821557
Samsung,SMR,5,0.08076100001842834
Samsung,Natural gas,4,0.10988948144252243
Samsung,Constellation,4,0.11616813608626214
Samsung,NextEra,4,0.06977594096873894
Samsung,Vistra,4,0.09624284136521936
Samsung,GE Vernova,4,0.08269027748943389
Samsung,Electrical grid,4,0.07290737549075246
Samsung,Transformer (device),5,0.17537489694910416
Samsung,Quanta Services,5,0.12115700565565632
Samsung,Eaton,5,0.10867928913212539
Samsung,Copper,5,0.1666483930763223
Samsung,Uranium,5,0.08286061745015341
Samsung,Tesla,4,0.14505879140602632
HBM,Data center,2,0.19233937770800827
HBM,Azure,3,0.06683099248780174
HBM,AWS,3,0.0815455770362692
HBM,Google Cloud,3,0.07289341758481337
HBM,CoreWeave,3,0.0682050456680919
HBM,Oracle,3,0.0812560576839667
HBM,Vertiv,3,0.10616677232259965
HBM,Nuclear power,3,0.06073460974419376
HBM,SMR,4,0.01003355478961818
HBM,Natural gas,3,0.029234240573023648
HBM,Constellation,3,0.0367448067033641
HBM,NextEra,3,0.07403514862955375
HBM,Vistra,3,0.10328736087375534
HBM,GE Vernova,3,0.10651266230101462
HBM,Electrical grid,3,0.029653801393352
HBM,Transformer (device),4,0.07910736899730361
HBM,Quanta Services,4,0.03310269080695578
HBM,Eaton,4,0.08777685929042346
HBM,Copper,4,0.026079157697796018
HBM,Uranium,4,0.03545892161046987
HBM,Tesla,3,0.14693678086794765
Data center,Azure,3,0.05714126424055836
Data center,AWS,1,0.10551594904112807
Data center,Google Cloud,1,0.07517209661553206
Data center,CoreWeave,1,-0.004363834177908016
Data center,Oracle,1,0.07764894740814422
Data center,Vertiv,1,0.13472775102271367
Data center,Nuclear power,1,0.04737610274227035
Data center,SMR,2,0.07640314959971374
Data center,Natural gas,1,0.05727859833467192
Data center,Constellation,1,0.08776750027152797
Data center,NextEra,1,0.16651877763730216
Data center,Vistra,1,0.1302150555625572
Data center,GE Vernova,1,0.0595131075062467
Data center,Electrical grid,1,0.11764281484808627
Data center,Transformer (device),2,0.0940020036182635
Data center,Quanta Services,2,0.0806421006398679
Data center,Eaton,2,0.10108266947570883
Data center,Copper,2,0.09392313086383715
Data center,Uranium,2,0.13134609448125806
Data center,Tesla,3,0.03300683297478936
Azure,AWS,4,0.3028886483724711
Azure,Google Cloud,4,0.2646747699105734
Azure,CoreWeave,4,0.05201724400746459
Azure,Oracle,4,0.07861802779680062
Azure,Vertiv,4,0.1199885437520963
Azure,Nuclear power,4,0.1370319818183654
Azure,SMR,5,0.06930002685795615
Azure,Natural gas,4,0.10226028760234968
Azure,Constellation,4,0.04338686800755525
Azure,NextEra,4,0.08780926519286462
Azure,Vistra,4,0.07249573561042631
Azure,GE Vernova,4,0.017961789441564884
Azure,Electrical grid,4,0.12498450732095108
Azure,Transformer (device),5,0.0999440005742529
Azure,Quanta Services,5,0.08098613629892079
Azure,Eaton,5,0.05146478876916565
Azure,Copper,5,0.19126968774249617
Azure,Uranium,5,0.07257195308585689
Azure,Tesla,4,0.07417679755032978
AWS,Google Cloud,2,0.2464869676484889
AWS,CoreWeave,2,0.08953734855167254
AWS,Oracle,2,0.12144985894216268
AWS,Vertiv,2,0.07895342114271951
AWS,Nuclear power,2,0.09674603719302766
AWS,SMR,3,0.09343354210927399
AWS,Natural gas,2,0.07416240827954117
AWS,Constellation,2,0.052516493738344466
AWS,NextEra,2,0.08937177317170916
AWS,Vistra,2,0.09783081073087982
AWS,GE Vernova,2,-0.017726031774421207
AWS,Electrical grid,2,0.18632024550282913
AWS,Transformer (device),3,0.17103256451280668
AWS,Quanta Services,3,0.06504693414057608
AWS,Eaton,3,0.12022540302272573
AWS,Copper,3,0.19474949951604867
AWS,Uranium,3,0.0735514111274155
AWS,Tesla,4,0.061731008368167396
Google Cloud,CoreWeave,2,0.08382132863179714
Google Cloud,Oracle,2,0.0962259656833592
Google Cloud,Vertiv,2,0.06624538820745897
Google Cloud,Nuclear power,2,0.07489913763048273
Google Cloud,SMR,3,0.07471745137736935
Google Cloud,Natural gas,2,0.1606278080134365
Google Cloud,Constellation,2,0.03852707845075623
Google Cloud,NextEra,2,0.08284726759226432
Google Cloud,Vistra,2,0.06897679527355513
Google Cloud,GE Vernova,2,0.07292052595059371
Google Cloud,Electrical grid,2,0.05107970938575342
Google Cloud,Transformer (device),3,0.15603038842517208
Google Cloud,Quanta Services,3,0.04936029606258272
Google Cloud,Eaton,3,0.13934896351043644
Google Cloud,Copper,3,0.1508928244290125
Google Cloud,Uranium,3,0.07168441601134524
Google Cloud,Tesla,4,0.20530074277169055
CoreWeave,Oracle,2,0.0925788804998581
CoreWeave,Vertiv,2,0.02091162993639641
CoreWeave,Nuclear power,2,0.1707700940550033
CoreWeave,SMR,3,0.15846867060583775
CoreWeave,Natural gas,2,0.09987393687471544
CoreWeave,Constellation,2,0.22041788298029863
CoreWeave,NextEra,2,0.026247292788493415
CoreWeave,Vistra,2,0.10476458796021179
CoreWeave,GE Vernova,2,0.051324259053957516
CoreWeave,Electrical grid,2,0.19575727066784354
CoreWeave,Transformer (device),3,0.07148240832547857
CoreWeave,Quanta Services,3,0.07743477681376347
CoreWeave,Eaton,3,0.05306939489136117
CoreWeave,Copper,3,0.18461071226036993
CoreWeave,Uranium,3,0.13181285184764827
CoreWeave,Tesla,4,0.11943176424632411
Oracle,Vertiv,2,0.1274281327112861
Oracle,Nuclear power,2,0.13146681560874438
Oracle,SMR,3,0.07912780425627174
Oracle,Natural gas,2,0.1812582803984178
Oracle,Constellation,2,0.09762643048066103
Oracle,NextEra,2,0.03316711413758989
Oracle,Vistra,2,0.14934420948395802
Oracle,GE Vernova,2,0.06611215010342837
Oracle,Electrical grid,2,0.1030787306507224
Oracle,Transformer (device),3,0.08183571562429752
Oracle,Quanta Services,3,0.07095628478330529
Oracle,Eaton,3,0.08194008516337087
Oracle,Copper,3,0.14058142267395413
Oracle,Uranium,3,0.11205227342636348
Oracle,Tesla,4,0.13635856731368481
Vertiv,Nuclear power,2,0.029588925004071388
Vertiv,SMR,3,0.1084956157672786
Vertiv,Natural gas,2,0.06502568785551653
Vertiv,Constellation,2,0.15479631527989327
Vertiv,NextEra,2,0.12634955416867785
Vertiv,Vistra,2,0.1801298591245578
Vertiv,GE Vernova,2,0.1171090203468742
Vertiv,Electrical grid,2,0.05479658216723191
Vertiv,Transformer (device),3,0.05254101945778885
Vertiv,Quanta Services,3,0.06328002636912039
Vertiv,Eaton,3,0.06084992976339709
Vertiv,Copper,3,0.0460109234200033
Vertiv,Uranium,3,0.03851731259287971
Vertiv,Tesla,4,0.10553629623624969
Nuclear power,SMR,1,0.18473985121299738
Nuclear power,Natural gas,2,0.26521612108126347
Nuclear power,Constellation,1,0.07938877099935104
Nuclear power,NextEra,2,0.06868364560077357
Nuclear power,Vistra,2,0.03164026900409141
Nuclear power,GE Vernova,2,0.06354295469319378
Nuclear power,Electrical grid,2,0.22217551006655478
Nuclear power,Transformer (device),3,0.14124282713604996
Nuclear power,Quanta Services,3,0.06709004181503643
Nuclear power,Eaton,3,0.07588391550389467
Nuclear power,Copper,3,0.19109011035804357
Nuclear power,Uranium,1,0.506166116793741
Nuclear power,Tesla,4,0.13004616658098775
SMR,Natural gas,3,0.08186310127348058
SMR,Constellation,2,0.2353338684272234
SMR,NextEra,3,0.04376122500018922
SMR,Vistra,3,0.17972646545646742
SMR,GE Vernova,3,0.08068651421755657
SMR,Electrical grid,3,0.10678479941850873
SMR,Transformer (device),4,0.05610567918285461
SMR,Quanta Services,4,0.04832652259377759
SMR,Eaton,4,0.08867255597310916
SMR,Copper,4,0.07901372045178345
SMR,Uranium,2,0.09484996527741564
SMR,Tesla,5,0.09766700976520235
Natural gas,Constellation,2,0.0667686220748111
Natural gas,NextEra,2,0.06826551718431219
Natural gas,Vistra,2,0.006858562949379413
Natural gas,GE Vernova,2,0.16389433474560955
Natural gas,Electrical grid,2,0.20717979234170575
Natural gas,Transformer (device),3,0.20928200013339215
Natural gas,Quanta Services,3,0.08649158388782252
Natural gas,Eaton,3,0.08569668288518477
Natural gas,Copper,3,0.26645345964695577
Natural gas,Uranium,3,0.23464303086263646
Natural gas,Tesla,4,0.09147349322289623
Constellation,NextEra,2,0.12609100514423774
Constellation,Vistra,2,0.30817306026285535
Constellation,GE Vernova,2,0.08406354401215864
Constellation,Electrical grid,2,0.056739385571896735
Constellation,Transformer (device),3,0.042305233524040815
Constellation,Quanta Services,3,0.10847308145723683
Constellation,Eaton,3,0.034930546230720436
Constellation,Copper,3,0.04005030687060922
Constellation,Uranium,2,0.08367562096963502
Constellation,Tesla,4,0.09881890210954043
NextEra,Vistra,2,0.06851632128204345
NextEra,GE Vernova,2,0.07678787432317816
NextEra,Electrical grid,2,0.08473594450646901
NextEra,Transformer (device),3,0.07485793127947549
NextEra,Quanta Services,3,0.06377031545220314
NextEra,Eaton,3,0.12062639048019366
NextEra,Copper,3,0.05745830220467426
NextEra,Uranium,3,0.08252097034142657
NextEra,Tesla,4,0.08163462319018866
Vistra,GE Vernova,2,0.14550942915936
Vistra,Electrical grid,2,0.09601345595421616
Vistra,Transformer (device),3,0.027852833135911463
Vistra,Quanta Services,3,0.09458520144147488
Vistra,Eaton,3,0.030124518176087803
Vistra,Copper,3,0.0231972247270211
Vistra,Uranium,3,0.0329551099976758
Vistra,Tesla,4,0.09487706623558992
GE Vernova,Electrical grid,2,0.08828542242888648
GE Vernova,Transformer (device),3,0.1271294218916565
GE Vernova,Quanta Services,3,0.06796342973101717
GE Vernova,Eaton,3,0.014561342477677711
GE Vernova,Copper,3,0.06654109363748142
GE Vernova,Uranium,3,0.043237653370930496
GE Vernova,Tesla,4,0.1119631347341065
Electrical grid,Transformer (device),1,0.27059187096111803
Electrical grid,Quanta Services,1,0.05570045195156186
Electrical grid,Eaton,1,0.08402950862738079
Electrical grid,Copper,1,0.287734916894338
Electrical grid,Uranium,3,0.16041802216847711
Electrical grid,Tesla,4,0.08801789357848684
Transformer (device),Quanta Services,2,0.09268767984178317
Transformer (device),Eaton,2,0.09574876534969229
Transformer (device),Copper,2,0.34800221503642953
Transformer (device),Uranium,4,0.11391890462356238
Transformer (device),Tesla,5,0.1067201619630967
Quanta Services,Eaton,2,0.11724528042843488
Quanta Services,Copper,2,0.10393146049922783
Quanta Services,Uranium,4,0.05692641535115925
Quanta Services,Tesla,5,0.009896019803876483
Eaton,Copper,2,0.14407810229682605
Eaton,Uranium,4,0.07182085941823627
Eaton,Tesla,5,0.07289564414916797
Copper,Uranium,4,0.15730635448485905
Copper,Tesla,5,0.08458773264054349
Uranium,Tesla,5,0.0644790007249566
